year2,ifsize,fage4,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1979,e) 50 to 99,l) Left Censored,66419,114866,4815998,4750954,6461,5.6,7368,6.4,773411,102936,670475,2.2,16.3,643323,220655,422668,4.6,13.5,130088,2.8,27,0,1544,1844,104184
1979,f) 100 to 249,a) 0,1230,1864,177445,89121,1858,199.4,0,0,176648,176648,0,198.2,198.2,0,0,0,0,0,176648,198.2,0,0,,,
1979,f) 100 to 249,b) 1,976,1640,142575,155965,211,12.4,329,19.4,34389,7304,27085,4.7,22,61168,33569,27599,21.5,39.2,-26779,-17.2,44,0,166,174,25050
1979,f) 100 to 249,c) 2,2516,9342,380072,385201,1265,13.8,878,9.6,83182,27366,55816,7.1,21.6,93439,37934,55505,9.8,24.3,-10257,-2.7,43.2,0,113,138,16508
1979,f) 100 to 249,l) Left Censored,34308,102664,5426699,5352355,7827,7.7,7041,6.9,892955,163444,729511,3.1,16.7,744267,274222,470045,5.1,13.9,148688,2.8,27.8,0,698,880,100657
1979,g) 250 to 499,a) 0,236,499,78932,39838,497,199.2,0,0,78189,78189,0,196.3,196.3,0,0,0,0,0,78189,196.3,0,0,,,
1979,g) 250 to 499,b) 1,179,807,58120,64333,136,17.5,72,9.3,15146,5599,9547,8.7,23.5,27572,13602,13970,21.1,42.9,-12426,-19.4,47,0,33,35,10714
1979,g) 250 to 499,c) 2,539,3649,183540,185281,593,17,283,8.1,39303,15487,23816,8.4,21.2,42785,15173,27612,8.2,23.1,-3482,-1.9,42.4,0,13,15,4434
1979,g) 250 to 499,l) Left Censored,9647,58644,3377374,3363149,5116,8.8,3965,6.8,497043,126712,370331,3.8,14.8,468593,160800,307793,4.8,13.9,28450,0.9,27.8,0,121,281,40796
1979,h) 500 to 999,a) 0,45,108,30364,15182,108,200,0,0,30364,30364,0,200,200,0,0,0,0,0,30364,200,0,0,,,
1979,h) 500 to 999,b) 1,63,271,34052,37657,22,8.2,16,6,8985,1428,7557,3.8,23.9,16195,1568,14627,4.2,43,-7210,-19.1,47.8,0,,,
1979,h) 500 to 999,c) 2,179,1292,114057,117187,210,16.8,127,10.2,25673,10273,15400,8.8,21.9,31932,8729,23203,7.4,27.2,-6259,-5.3,43.8,1,4,4,
1979,h) 500 to 999,l) Left Censored,4854,54335,3418860,3372334,4783,8.9,3948,7.3,511274,131342,379932,3.9,15.2,418223,136108,282115,4,12.4,93051,2.8,24.8,1,38,128,
1979,i) 1000 to 2499,a) 0,18,33,24076,12676,32,193.9,0,0,22801,22801,0,179.9,179.9,0,0,0,0,0,22801,179.9,0,0,,,
1979,i) 1000 to 2499,b) 1,38,336,20669,30200,43,13.5,9,2.8,2690,551,2139,1.8,8.9,21752,162,21590,0.5,72,-19062,-63.1,17.8,0,,,
1979,i) 1000 to 2499,c) 2,77,1123,90953,101455,86,7.7,66,5.9,13453,4502,8951,4.4,13.3,34457,8075,26382,8,34,-21004,-20.7,26.6,1,1,3,
1979,i) 1000 to 2499,l) Left Censored,2931,71406,4415034,4363900,6888,9.8,4202,6,627398,162744,464654,3.7,14.4,525129,154955,370174,3.6,12,102269,2.4,24,1,19,148,
1979,j) 2500 to 4999,a) 0,3,8,11661,5831,8,200,0,0,11661,11661,0,200,200,0,0,0,0,0,11661,200,0,0,,,
1979,j) 2500 to 4999,b) 1,5,78,5067,6115,8,10.6,3,4,1728,,,,28.3,3823,,3317,,62.5,-2095,-34.2,56.6,1,,,
1979,j) 2500 to 4999,c) 2,26,369,50785,55422,56,15.6,34,9.5,12028,,,,21.7,21302,,20374,,38.4,-9274,-16.7,43.4,1,,,
1979,j) 2500 to 4999,l) Left Censored,1041,55594,3411409,3388721,5347,9.8,3101,5.7,484292,138578,345714,4.1,14.3,438918,123360,315558,3.6,13,45374,1.3,26,0,7,17,23886
1979,k) 5000 to 9999,b) 1,7,91,1636,1675,1,1.1,1,1.1,52,,,,3.1,129,,125,,7.7,-77,-4.6,6.2,1,,,
1979,k) 5000 to 9999,c) 2,9,181,33613,30588,12,6.6,12,6.6,7291,,,,23.8,1241,,1108,,4.1,6050,19.7,8.2,1,,,
1979,k) 5000 to 9999,l) Left Censored,605,57058,3706956,3671350,6288,11.3,3540,6.4,546304,164176,382128,4.5,14.9,475092,122098,352994,3.3,12.9,71212,2,25.8,1,2,2,
1979,l) 10000+,b) 1,20,575,39524,39400,16,2.8,2,0.4,1101,247,854,0.6,2.8,852,,637,,2.2,249,0.6,4.4,1,,,
1979,l) 10000+,c) 2,26,220,33061,37047,10,4.5,19,8.5,2455,23,2432,0.1,6.6,10428,,6465,,28.1,-7973,-21.5,13.2,1,,,
1979,l) 10000+,l) Left Censored,755,229869,18352454,18020627,21045,9.3,14245,6.3,2456221,688972,1767249,3.8,13.6,1792568,450365,1342203,2.5,9.9,663653,3.7,19.8,0,,,
1980,a) 1 to 4,a) 0,319968,320375,602922,304199,316776,197.8,0,0,597447,597447,0,196.4,196.4,0,0,0,0,0,597447,196.4,0,0,,,
1980,a) 1 to 4,b) 1,244509,245260,698424,666757,399,0.1,88855,29.9,270938,1826,269112,0.3,40.6,207603,152681,54922,22.9,31.1,63335,9.5,62.2,0,71515,71523,124756
1980,a) 1 to 4,c) 2,198476,198878,492332,495125,8081,3.6,53858,24,141808,14974,126834,3,28.6,147394,98499,48895,19.9,29.8,-5586,-1.2,57.2,0,43189,43191,79895
1980,a) 1 to 4,d) 3,172534,173529,422485,425199,7531,4,39924,21,111107,13475,97632,3.2,26.1,116534,73617,42917,17.3,27.4,-5427,-1.3,52.2,0,31247,31260,58149
1980,a) 1 to 4,l) Left Censored,1041766,1044922,2566052,2566726,26255,2.4,150310,13.6,519250,49135,470115,1.9,20.2,520598,281539,239059,11,20.3,-1348,-0.1,40.4,0,120436,120495,226489
1980,b) 5 to 9,a) 0,75630,76323,491465,246860,75970,199.1,0,0,489210,489210,0,198.2,198.2,0,0,0,0,0,489210,198.2,0,0,,,
1980,b) 5 to 9,b) 1,66942,67874,478174,504111,394,0.5,14716,19.2,124436,2267,122169,0.4,24.7,176309,94413,81896,18.7,35,-51873,-10.3,49.4,0,12390,12406,80265
1980,b) 5 to 9,c) 2,65923,66651,434517,463804,1785,2.5,11418,15.8,91111,10883,80228,2.3,19.6,149685,73733,75952,15.9,32.3,-58574,-12.7,39.2,0,9613,9622,62357
1980,b) 5 to 9,d) 3,64850,68532,425734,449400,1734,2.4,9669,13.3,79809,9977,69832,2.2,17.8,127140,58187,68953,12.9,28.3,-47331,-10.5,35.6,0,6903,6941,44661
1980,b) 5 to 9,l) Left Censored,483650,493594,3138486,3263297,7769,1.5,39156,7.7,422108,47129,374979,1.4,12.9,671729,244237,427492,7.5,20.6,-249621,-7.7,25.8,0,29842,29997,194008
1980,c) 10 to 19,a) 0,35502,36386,466247,234195,36220,199.1,0,0,464104,464104,0,198.2,198.2,0,0,0,0,0,464104,198.2,0,0,,,
1980,c) 10 to 19,b) 1,33149,34390,453844,487707,363,0.9,6806,17.7,104606,3295,101311,0.7,21.4,172331,87147,85184,17.9,35.3,-67725,-13.9,42.8,0,5672,5696,74539
1980,c) 10 to 19,c) 2,33491,34585,433436,469893,970,2.6,5416,14.6,82191,10254,71937,2.2,17.5,155105,70490,84615,15,33,-72914,-15.5,35,0,4619,4626,61163
1980,c) 10 to 19,d) 3,38546,47497,522770,545083,1389,2.8,6003,12,102581,12004,90577,2.2,18.8,147206,63032,84174,11.6,27,-44625,-8.2,37.6,0,3315,3377,43771
1980,c) 10 to 19,l) Left Censored,311789,334204,4116630,4266695,5022,1.5,22356,6.5,502465,50483,451982,1.2,11.8,802595,262974,539621,6.2,18.8,-300130,-7,23.6,0,15180,15381,201241
1980,d) 20 to 49,a) 0,15614,16737,455232,228388,16683,199.4,0,0,453688,453688,0,198.6,198.6,0,0,0,0,0,453688,198.6,0,0,,,
1980,d) 20 to 49,b) 1,14712,16350,442937,475610,439,2.4,2987,16.6,98241,8647,89594,1.8,20.7,163587,81606,81981,17.2,34.4,-65346,-13.7,41.4,0,2364,2385,67843
1980,d) 20 to 49,c) 2,16233,17693,455259,497048,633,3.4,2592,13.8,81814,11081,70733,2.2,16.5,165391,71060,94331,14.3,33.3,-83577,-16.8,33,0,2083,2091,60313
1980,d) 20 to 49,d) 3,22198,36044,674994,696538,1515,4.1,3928,10.5,135210,44802,90408,6.4,19.4,178298,72940,105358,10.5,25.6,-43088,-6.2,38.8,0,1566,1619,45886
1980,d) 20 to 49,l) Left Censored,204123,251267,6069383,6234448,4943,1.9,14331,5.6,713141,71906,641235,1.2,11.4,1043271,308256,735015,4.9,16.7,-330130,-5.3,22.8,0,7268,7592,212937
1980,e) 50 to 99,a) 0,3487,4150,233547,117121,4140,199.5,0,0,232852,232852,0,198.8,198.8,0,0,0,0,0,232852,198.8,0,0,,,
1980,e) 50 to 99,b) 1,3144,4105,208780,227681,243,5.6,669,15.3,44096,6228,37868,2.7,19.4,81897,39509,42388,17.4,36,-37801,-16.6,38.8,0,478,492,32485
1980,e) 50 to 99,c) 2,3781,4782,239578,261859,296,5.9,624,12.5,40534,7534,33000,2.9,15.5,85095,33150,51945,12.7,32.5,-44561,-17,31,0,412,447,27386
1980,e) 50 to 99,d) 3,6073,14962,409155,423765,1341,8.9,1398,9.3,73903,16665,57238,3.9,17.4,103122,38266,64856,9,24.3,-29219,-6.9,34.8,0,272,313,18791
1980,e) 50 to 99,l) Left Censored,67758,114069,4605442,4702242,4612,4,6956,6,557730,75299,482431,1.6,11.9,751330,215298,536032,4.6,16,-193600,-4.1,23.8,0,1800,2079,121769
1980,f) 100 to 249,a) 0,1110,1672,158099,79241,1669,199.6,0,0,157717,157717,0,199,199,0,0,0,0,0,157717,199,0,0,,,
1980,f) 100 to 249,b) 1,1061,1817,152625,164368,199,10.5,303,16,35362,9480,25882,5.8,21.5,58847,27105,31742,16.5,35.8,-23485,-14.3,43,0,134,138,19335
1980,f) 100 to 249,c) 2,1262,2347,192045,199716,295,12.3,374,15.6,51437,25031,26406,12.5,25.8,66778,29400,37378,14.7,33.4,-15341,-7.6,51.6,0,155,164,21870
1980,f) 100 to 249,d) 3,2641,9824,422460,417964,970,9.9,916,9.3,104520,26285,78235,6.3,25,95528,37067,58461,8.9,22.9,8992,2.1,45.8,0,118,145,15901
1980,f) 100 to 249,l) Left Censored,36075,102961,5431382,5493331,5950,5.8,6520,6.3,687005,130977,556028,2.4,12.5,810903,240371,570532,4.4,14.8,-123898,-2.3,25,0,656,842,95124
1980,g) 250 to 499,a) 0,167,381,55009,27674,380,199.5,0,0,54670,54670,0,197.6,197.6,0,0,0,0,0,54670,197.6,0,0,,,
1980,g) 250 to 499,b) 1,210,529,71040,75961,70,13.2,72,13.5,17330,5055,12275,6.7,22.8,27172,16146,11026,21.3,35.8,-9842,-13,45.6,1,31,31,
1980,g) 250 to 499,c) 2,220,736,68210,73457,100,13.9,67,9.3,14041,4682,9359,6.4,19.1,24535,9533,15002,13,33.4,-10494,-14.3,38.2,1,18,18,
1980,g) 250 to 499,d) 3,599,4128,203782,204401,472,11.6,371,9.1,39297,12655,26642,6.2,19.2,40534,14189,26345,6.9,19.8,-1237,-0.6,38.4,1,10,37,
1980,g) 250 to 499,l) Left Censored,10613,62038,3651228,3661528,4707,7.6,4186,6.8,506564,127399,379165,3.5,13.8,527163,152911,374252,4.2,14.4,-20599,-0.6,27.6,0,130,286,44309
1980,h) 500 to 999,a) 0,45,204,29328,14664,204,200,0,0,29328,29328,0,200,200,0,0,0,0,0,29328,200,0,0,,,
1980,h) 500 to 999,b) 1,48,132,31683,31480,8,6.2,2,1.6,8437,,,,26.8,8031,,7057,,25.5,406,1.3,51,1,1,2,
1980,h) 500 to 999,c) 2,63,506,40764,43374,102,20.9,65,13.3,6888,,,,15.9,12107,,7258,,27.9,-5219,-12,31.8,1,4,4,2838
1980,h) 500 to 999,d) 3,194,1771,120288,122781,171,9.8,132,7.5,23742,7074,16668,5.8,19.3,28729,7628,21101,6.2,23.4,-4987,-4.1,38.6,1,2,3,
1980,h) 500 to 999,l) Left Censored,4815,53332,3345284,3343114,4209,7.9,3691,7,443080,129159,313921,3.9,13.3,438739,137466,301273,4.1,13.1,4341,0.2,26.2,0,40,124,27822
1980,i) 1000 to 2499,a) 0,10,50,14014,7007,50,200,0,0,14014,14014,0,200,200,0,0,0,0,0,14014,200,0,0,,,
1980,i) 1000 to 2499,b) 1,36,102,33638,35607,8,8.2,0,0,3584,,,,10.1,7521,0,7521,0,21.1,-3937,-11,20.2,1,,,
1980,i) 1000 to 2499,c) 2,37,1104,34384,36669,341,35,80,8.2,3964,,,,10.8,8533,1840,6693,5,23.3,-4569,-12.5,21.6,1,1,1,
1980,i) 1000 to 2499,d) 3,90,1504,124053,121645,180,12.5,59,4.1,22294,5629,16665,4.6,18.3,17477,3252,14225,2.7,14.4,4817,3.9,28.8,0,,,
1980,i) 1000 to 2499,l) Left Censored,3049,72205,4514388,4471824,6844,9.7,4256,6,596732,175792,420940,3.9,13.3,511605,160190,351415,3.6,11.4,85127,1.9,22.8,1,17,34,
1980,j) 2500 to 4999,b) 1,5,14,8302,10461,1,7.1,1,7.1,871,,,,8.3,5189,,5183,,49.6,-4318,-41.3,16.6,1,,,
1980,j) 2500 to 4999,c) 2,4,105,14115,13391,6,5.5,15,13.7,2749,,,,20.5,1300,,753,,9.7,1449,10.8,19.4,1,,,
1980,j) 2500 to 4999,d) 3,15,158,31502,34864,8,5,10,6.3,3209,,,,9.2,9932,,9460,,28.5,-6723,-19.3,18.4,1,,,
